fecha 	 low 	 open 	 close 	 high 	 highpoint 	 lowpoint 	 ema short 	 ema mid 	 signal 	 shorttrend 	 midtrend 	 longtrend 	 action 
17/09/2001	1,2	1,3	1,3	1,3	1,3405	1,3845	-0,332	false	true	null	null	DOWNTREND	0
18/09/2001	1,3	1,3	1,3	1,3	1,3354	1,3812	-0,2906	false	false	null	null	DOWNTREND	0
19/09/2001	1,19	1,19	1,19	1,2	1,3172	1,3737	-0,4822	false	false	null	null	DOWNTREND	0
20/09/2001	1,04	1,04	1,04	1,11	1,2826	1,3606	-0,9532	false	false	null	null	DOWNTREND	0
21/09/2001	1,02	1,02	1,02	1,02	1,2498	1,3472	-1,3906	false	false	null	null	DOWNTREND	0
24/09/2001	1,02	1,02	1,02	1,02	1,221	1,3344	-1,5515	false	false	null	null	DOWNTREND	0
25/09/2001	1	1	1	1,02	1,1934	1,3213	-1,4447	false	false	null	null	DOWNTREND	0
26/09/2001	1	1	1	1	1,1692	1,3087	-1,3112	false	false	null	null	DOWNTREND	0
27/09/2001	1	1	1	1	1,1481	1,2966	-1,1929	false	false	null	null	DOWNTREND	0
28/09/2001	0,98	0,98	0,98	1	1,1271	1,2842	-1,0882	false	false	null	null	DOWNTREND	0
01/10/2001	0,97	0,97	0,97	1	1,1074	1,2719	-1,0158	false	false	null	null	DOWNTREND	0
02/10/2001	0,97	0,97	0,97	0,97	1,0903	1,26	-0,9521	false	false	null	null	DOWNTREND	0
03/10/2001	0,87	0,87	0,87	0,92	1,0627	1,2447	-1,0564	false	false	null	null	DOWNTREND	0
04/10/2001	0,84	0,84	0,84	0,84	1,0349	1,2289	-1,1864	false	false	null	null	DOWNTREND	0
05/10/2001	0,8	0,82	0,82	0,82	1,008	1,2128	-1,3377	false	true	null	null	DOWNTREND	0
08/10/2001	0,82	0,82	0,82	0,82	0,9845	1,1974	-1,275	false	false	null	null	DOWNTREND	0
09/10/2001	0,79	0,79	0,79	0,8	0,9602	1,1814	-1,2199	false	true	null	null	DOWNTREND	0
10/10/2001	0,8	0,8	0,8	0,8	0,9402	1,1665	-1,0995	false	false	null	null	DOWNTREND	0
11/10/2001	0,8	0,82	0,82	0,82	0,9252	1,1529	-0,9768	false	false	null	null	DOWNTREND	0
12/10/2001	0,82	0,82	0,82	0,82	0,912	1,1398	-0,7964	true	false	null	null	DOWNTREND	0
15/10/2001	0,78	0,79	0,79	0,81	0,8968	1,1261	-0,7187	false	true	null	null	DOWNTREND	0
16/10/2001	0,79	0,79	0,79	0,79	0,8834	1,1129	-0,6913	false	false	null	null	DOWNTREND	0
17/10/2001	0,81	0,82	0,82	0,82	0,8755	1,1014	-0,6058	false	false	null	null	DOWNTREND	0
18/10/2001	0,82	0,82	0,82	0,82	0,8686	1,0904	-0,4688	false	false	null	null	DOWNTREND	0
