Date,Open,High,Low,Close,Volume,Adj Close
2010-11-17,6.41,6.41,6.25,6.25,22600,5.69
2010-11-16,6.45,6.45,6.25,6.41,75600,5.83
2010-11-15,6.45,6.65,6.45,6.65,65800,5.86
2010-11-12,6.69,6.69,6.36,6.40,195700,5.64
2010-11-11,6.80,6.90,6.65,6.70,84300,5.91
2010-11-10,6.90,6.90,6.65,6.90,75900,6.08
2010-11-09,7.01,7.01,6.90,6.90,80200,6.08
2010-11-08,7.05,7.08,6.85,6.97,136700,6.15
2010-11-05,6.80,6.90,6.72,6.88,373600,6.07
2010-11-04,6.27,6.64,6.27,6.64,580600,5.85
2010-11-03,6.05,6.07,6.01,6.05,273500,5.33
2010-11-02,6.08,6.27,6.04,6.04,504300,5.33
2010-11-01,5.96,6.10,5.96,6.04,550400,5.33
2010-10-29,5.93,5.95,5.65,5.93,80100,5.23
2010-10-28,5.72,5.91,5.72,5.72,202500,5.04
2010-10-27,5.55,5.55,5.55,5.55,000,4.89
2010-10-26,5.55,5.60,5.53,5.55,81400,4.89
2010-10-25,5.73,5.75,5.70,5.73,26800,5.05
2010-10-22,5.65,5.71,5.65,5.69,112800,5.02
2010-10-21,5.70,5.72,5.63,5.65,27800,4.98
2010-10-20,5.60,5.70,5.59,5.65,123000,4.98
2010-10-19,5.65,5.68,5.59,5.59,21000,4.93
2010-10-18,5.58,5.70,5.58,5.68,59300,5.01
2010-10-15,5.65,5.65,5.54,5.56,11200,4.90
2010-10-14,5.55,5.60,5.50,5.52,35800,4.87
2010-10-13,5.57,5.65,5.57,5.57,24400,4.91
2010-10-12,5.60,5.60,5.52,5.59,19100,4.93
2010-10-11,5.64,5.64,5.64,5.64,000,4.97
2010-10-08,5.68,5.68,5.62,5.64,27800,4.97
2010-10-07,5.68,5.68,5.65,5.66,3200,4.99
2010-10-06,5.70,5.72,5.70,5.70,54200,5.03
2010-10-05,5.68,5.75,5.68,5.75,102100,5.07
2010-10-04,5.70,5.70,5.64,5.68,16000,5.01
2010-10-01,5.80,5.82,5.60,5.70,31700,5.03
2010-09-30,5.70,5.85,5.70,5.80,102300,5.11
2010-09-29,5.77,5.77,5.60,5.73,53900,5.05
2010-09-28,5.68,5.77,5.59,5.77,94300,5.09
2010-09-27,5.60,5.75,5.60,5.68,41800,5.01
2010-09-24,5.40,5.57,5.40,5.57,56400,4.91
2010-09-23,5.32,5.40,5.32,5.40,68200,4.76
2010-09-22,5.20,5.38,5.20,5.38,103800,4.74
2010-09-21,5.20,5.22,5.17,5.20,48300,4.59
2010-09-20,5.15,5.22,5.12,5.22,29300,4.60
2010-09-17,5.05,5.11,5.05,5.05,39100,4.45
2010-09-16,5.00,5.09,5.00,5.05,61000,4.45
2010-09-15,5.20,5.20,5.07,5.11,32500,4.51
2010-09-14,5.20,5.20,5.19,5.20,20700,4.59
2010-09-13,5.27,5.30,5.15,5.21,40500,4.59
2010-09-10,5.20,5.25,5.20,5.25,26900,4.63
2010-09-09,5.41,5.41,5.20,5.20,100900,4.59
2010-09-08,5.27,5.40,5.12,5.27,326100,4.65
2010-09-07,5.33,5.34,5.27,5.33,65700,4.70
2010-09-06,5.30,5.34,5.29,5.33,56100,4.70
2010-09-03,5.21,5.33,5.21,5.30,175000,4.67
2010-09-02,5.15,5.25,5.10,5.22,46600,4.60
2010-09-01,5.00,5.20,5.00,5.19,108800,4.58
2010-08-31,4.90,4.96,4.90,4.96,14000,4.37
2010-08-30,5.04,5.04,4.90,4.90,40300,4.32
2010-08-27,5.03,5.04,4.85,5.03,35400,4.44
2010-08-26,5.00,5.00,4.80,4.83,12200,4.26
2010-08-25,4.75,4.94,4.75,4.93,51600,4.35
2010-08-24,4.75,4.95,4.75,4.85,63400,4.28
2010-08-23,5.09,5.10,5.02,5.02,97500,4.43
2010-08-20,4.98,5.09,4.98,5.09,134000,4.49
2010-08-19,5.10,5.10,4.95,5.02,64200,4.43
2010-08-18,4.90,5.16,4.90,5.13,234300,4.52
2010-08-17,4.86,4.90,4.86,4.90,37200,4.32
2010-08-16,4.86,4.86,4.86,4.86,000,4.29
2010-08-13,4.87,4.88,4.85,4.86,50800,4.29
2010-08-12,4.70,4.88,4.70,4.87,181300,4.29
